id,variables,size,citation
en1,vad,1032,xanew
en2,vad,1034,bradley99
en3,jasfd,1034,stevenson07
es1,vad,1034,redondo07
es2,va,14031,Stadthagen16
es3,va,875,hiojosa16
es4,jasfd,875,hinojosa 16
es5,jasfd,10491,Stadthagen17
es6,jasfd,2266,ferre
de1,vad,1003,Schmidtke14
de2,va,2902,Vo09
de3,va,1000,Kanske10
de4,jasfd,1958,Briesemeister12
pl1,vad,4905,Imbir
pl2,va,2902,Riegel15
pl3,jasfd,2902,wierzba
zh1,va,2794,yu16
zh2,va,1100,yao16
it,vad,1121,montefinese
pt,vad,1034,soares12
nl,va,4299,Moors13
id,vad,1487,sianipar
el,vad,1034,palogiannidi
tr1,va,2029,Kapucu
tr2,jasfd,2029,Kapucu
hr,va,3022,Coso
